_id,STREET NAME,STREET TYPE,STREET SUFFIX,SUBURB
564,AQUA,Court,,WAKERLEY
565,AQUAMARINE,Street,,HOLLAND PARK
566,AQUARIUM,Avenue,,HEMMANT
567,AQUARIUS,Place,,BRIDGEMAN DOWNS
568,AQUARIUS,Street,,INALA
569,AQUILA,Street,,INALA
570,AQUINAS,Court,,ST LUCIA
571,ARA,Street,,CAMP HILL
572,ARABELLA,Street,,BARDON
573,ARABILIA,Close,,CHAPEL HILL
574,ARABILIA,Street,,HOLLAND PARK
575,ARAFURA,Crescent,,TINGALPA
576,ARAFURA,Street,,UPPER MOUNT GRAVATT
577,ARAGON,Street,,INDOOROOPILLY
578,ARAKOOLA,Street,,JINDALEE
579,ARAKURTA,Street,,LOTA
580,ARALIA,Street,,SUNNYBANK
581,ARALUEN,Place,,CARINDALE
582,ARALUEN,Street,,KEDRON
583,ARAMAC,Street,,KEPERRA
584,ARAMARA,Road,,ANSTEAD
585,ARAMIS,Place,,NUDGEE
586,ARANUI,Street,,YERONGA
587,ARAPALA,Court,,CARSELDINE
588,ARARAT,Street,,RIVERHILLS
589,ARATULA,Street,,SUNNYBANK HILLS
590,ARBOR,Street,,FERNY GROVE
591,ARBOUR,Street,,BRIDGEMAN DOWNS
592,ARBOUR,Street,,SHERWOOD
593,ARC,Place,,LARAPINTA
594,ARC,Street,,COORPAROO
595,ARCADIA,Crescent,,DARRA
596,ARCADIA,Street,,EIGHT MILE PLAINS
597,ARCH,Lane,,BRISBANE CITY
598,ARCHDALE,Road,,FERNY GROVE
599,ARCHER,Court,,MOUNT OMMANEY
600,ARCHER,Parade,,CORINDA
601,ARCHER,Street,,CHANDLER
602,ARCHER,Street,,GORDON PARK
603,ARCHER,Street,,GUMDALE
604,ARCHER,Street,,TOOWONG
605,ARCHER,Street,,UPPER MOUNT GRAVATT
606,ARCHERFIELD,Road,,DARRA
607,ARCHERFIELD,Road,,FOREST LAKE
608,ARCHERFIELD,Road,,INALA
609,ARCHERFIELD,Road,,RICHLANDS
610,ARCHIBALD,Street,,FAIRFIELD
611,ARCHIBALD,Street,,WEST END
612,ARCHIMEDES,Place,,MURARRIE
613,ARCHIMEDES,Street,,DARRA
614,ARCHIVA,Street,,MOUNT GRAVATT EAST
615,ARCOLA,Street,,ASPLEY
616,ARCOONA,Street,,SUNNYBANK
617,ARCTIC,Place,,BALD HILLS
618,ARCTIC,Street,,UPPER MOUNT GRAVATT
619,ARDARA,Street,,BRACKEN RIDGE
620,ARDARGIE,Street,,SUNNYBANK
621,ARDCARN,Street,,BRACKEN RIDGE
622,ARDEE,Court,,KEPERRA
623,ARDELL,Street,,KENMORE
624,ARDENNES,Close,,MANSFIELD
625,ARDENTALLEN,Road,,ENOGGERA
626,ARDES,Street,,CHAPEL HILL
627,ARDILL,Street,,ZILLMERE
628,ARDMERE,Street,,ASPLEY
629,ARDMORE,Street,,RUNCORN
630,ARDOCH,Street,,KEPERRA
631,ARDOYNE,Road,,CORINDA
632,ARDOYNE,Road,,OXLEY
633,ARELL,Street,,ASPLEY
634,ARENGA,Street,,WAKERLEY
635,ARGENT,Place,,SUNNYBANK HILLS
636,ARGO,Street,,INALA
637,ARGON,Street,,SUMNER
638,ARGOON,Street,,CARINDALE
639,ARGYLE,Parade,,DARRA
640,ARGYLE,Place,,FOREST LAKE
641,ARGYLE,Place,,PARKINSON
642,ARGYLE,Street,,ALBION
643,ARGYLE,Street,,RED HILL
644,ARGYLE,Street,,SEVENTEEN MILE ROCKS
645,ARIADNE,Street,,MANLY WEST
646,ARIES,Court,,BRIDGEMAN DOWNS
